-1	2.44	0.992592593	2.421925927	2.63	0.89	0.118518519	0.105481482	1.54	1.707792208	1.55	8.375	1.208	1.259680293	2.471
1	2.44	0.992592593	2.421925927	2.63	1.78	0.407407407	0.725185184	1.96	1.341836735	0.66	2.436363636	0.949	1.001114338	0.329
1	2.44	0.992592593	2.421925927	2.63	1.43	0.392592593	0.561407408	1.898	1.385669125	1.01	2.528301887	0.98	1.01176449	0.141
1	2.44	0.992592593	2.421925927	2.63	2.14	0.525925926	1.125481482	2.073	1.268692716	0.3	1.887323944	0.897	0.923357884	0.576
1	2.44	0.992592593	2.421925927	2.63	1.24	0.462962963	0.574074074	2.02	1.301980198	1.2	2.144	0.921	0.963097338	0.473
1	2.44	0.992592593	2.421925927	2.63	1.89	0.392592593	0.742000001	1.903	1.382028376	0.55	2.528301887	0.977	1.01176449	0.158
1	2.44	0.992592593	2.421925927	2.63	1.28	0.481481481	0.616296296	2.006	1.3110668	1.16	2.061538462	0.927	0.951058621	0.443
1	2.44	0.992592593	2.421925927	2.63	1.84	0.503703704	0.926814815	2.03	1.295566502	0.6	1.970588235	0.916	0.937003567	0.494
1	2.44	0.992592593	2.421925927	2.63	1.11	0.574074074	0.637222222	2.192	1.199817518	1.33	1.729032258	0.848	0.895113996	0.743
1	2.44	0.992592593	2.421925927	2.63	1.24	0.459259259	0.569481481	1.984	1.325604839	1.2	2.161290323	0.937	0.965541747	0.391
1	2.44	0.992592593	2.421925927	2.63	1.54	0.296296296	0.456296296	1.79	1.469273743	0.9	3.35	1.039	1.086924138	0.315
1	2.44	0.992592593	2.421925927	2.63	1.48	0.511111111	0.756444444	2.055	1.279805353	0.96	1.942028986	0.905	0.932410413	0.543
1	2.44	0.992592593	2.421925927	2.63	1.9	0.448148148	0.851481481	1.965	1.338422392	0.54	2.214876033	0.946	0.972949996	0.342
1	2.44	0.992592593	2.421925927	2.63	2.06	0.659259259	1.358074074	2.262	1.162687887	0.38	1.505617978	0.822	0.849159483	0.811
1	2.44	0.992592593	2.421925927	2.63	1.81	0.42962963	0.77762963	1.934	1.359875905	0.63	2.310344828	0.962	0.985552975	0.256
-1	1.75	0.97037037	1.698148148	2.567	0.89	0.118518519	0.105481482	1.54	1.666883117	0.86	8.1875	1.179	1.245631814	1.923
1	1.75	0.97037037	1.698148148	2.567	1.43	0.392592593	0.561407408	1.898	1.352476291	0.32	2.471698113	0.956	1.000480872	0.281
-1	1.75	0.97037037	1.698148148	2.567	1.11	0.574074074	0.637222222	2.192	1.171076642	0.64	1.690322581	0.828	0.885131312	0.788
-1	1.75	0.97037037	1.698148148	2.567	0.89	0.37037037	0.329629629	1.961	1.309026007	0.86	2.62	0.926	1.016704886	0.442
1	1.75	0.97037037	1.698148148	2.567	1.48	0.511111111	0.756444444	2.055	1.249148418	0.27	1.898550725	0.883	0.922011784	0.62
-1	1.75	0.97037037	1.698148148	2.567	0.86	0.274074074	0.235703704	1.794	1.430880713	0.89	3.540540541	1.012	1.09354886	0.087
-1	1.75	0.97037037	1.698148148	2.567	1.34	0.718518519	0.962814815	2.127	1.206864128	0.41	1.350515464	0.853	0.810734499	0.719
1	1.75	0.97037037	1.698148148	2.567	1.9	0.448148148	0.851481481	1.965	1.306361323	0.15	2.165289256	0.924	0.962099252	0.45
